shortName,BugID,Severity,Priority,Status,Assignee,Reporter,Product,Category,Component,Keywords,Build,Regression,Summary,link
2356305,2356305,critical,P1,closed,bentonj,ljack,VDI,Blast Protocol,Other,,13857090,---,"[Dynamic Encoder] With web client, after switch from JPEG to H264, agent desktop cannot be clicked",https://buildweb.eng.vmware.com/ob/2356305/
2358156,2358156,critical,P1,closed,bentonj,ysan,VDI,Blast Protocol,Other,,13857090,---,"[Dynamic Encoder] With Mobile client, after switch from H264 to JPEG, agent desktop cannot be clicked",https://buildweb.eng.vmware.com/ob/2358156/
2358391,2358391,minor,P1,closed,vdi-guru,vpn,VDI,Linux Agent,mksVNCServer,"vSRC-Disposition-RN, vSRC-Vuln-Public",,Unknown,Bump OpenSSL to 1.0.2s - Linux agent,https://buildweb.eng.vmware.com/ob/2358391/
2358567,2358567,serious,P2,closed,hangl,ksong,VDI,Linux Agent,Core-Agent,,,No,[Multi-Session] Synchronism Stop of ProcessObject is not safe,https://buildweb.eng.vmware.com/ob/2358567/
2358904,2358904,serious,P1,closed,haishanw,kli,VDI,Microsoft Teams,Agent,,,---,calls sometimes do not connect for ~18 seconds after VDI accepts the call,https://buildweb.eng.vmware.com/ob/2358904/
2359178,2359178,serious,P1,closed,achernikov,ljack,VDI,Blast Integration,Win Client,,13902629,---,[New Client]  Display issue when showing a window and video flickered when playing video,https://buildweb.eng.vmware.com/ob/2359178/
2359228,2359228,critical,P1,closed,alanh,ljack,VDI,Blast Integration,Win Client,,,---,[New Client] Right click and the first left click cannot move the cursor out of the agent desktop,https://buildweb.eng.vmware.com/ob/2359228/
2359313,2359313,serious,P1,closed,guptamohit,pbarber,VDI,Server Core,User Session Management,"BAT, CheckinApproved, view-client-auto-win",13872208,---,main branch wsnm-2976.dmp generated on Win10LTC2019 VDI during executing WinCDK client BATs,https://buildweb.eng.vmware.com/ob/2359313/
2359338,2359338,critical,P1,closed,alanh,ljack,VDI,Blast Integration,Win Client,,,---,[New Client] RMKS crash in shadow after giving control to shadow session,https://buildweb.eng.vmware.com/ob/2359338/
2359356,2359356,critical,P1,closed,achernikov,scheng,VDI,Blast Integration,Win Client,,14132876,---,[New Client] app is not displayed correctly with black area if connect to a disconnected app session or steal the session.,https://buildweb.eng.vmware.com/ob/2359356/
2359385,2359385,critical,P1,closed,bliu,scheng,VDI,Remote Client,wincdk client,,,---,[New Client] Horizon client quits as well after app session is stolen.,https://buildweb.eng.vmware.com/ob/2359385/
2359716,2359716,serious,P1,closed,nke,presslerv,VDI,Blast Networking,vVC (VMware Virtual Channels),found-by-benev,,---,[BENeV][Vvc] ASSERT bora/lib/vvclib/vvcMultiAsockBackend.c:732,https://buildweb.eng.vmware.com/ob/2359716/
2359794,2359794,critical,P1,closed,appblast-guru,ljack,VDI,Blast Integration,Win Client,,13902629,---,"[New Client] With PCoIP, RMKS crashed and agent desktop disconnected when rezise the agent desktop",https://buildweb.eng.vmware.com/ob/2359794/
2359886,2359886,serious,P1,closed,kelsallt,ljack,VDI,Blast Integration,Win Client,,13902629,---,[New Client] Decode reported in mks log is not correct,https://buildweb.eng.vmware.com/ob/2359886/
2359905,2359905,serious,P1,closed,appblast-guru,ljack,VDI,Blast Integration,Win Client,,13902629,---,"[New Client] When launch an app, it only show the border of the app",https://buildweb.eng.vmware.com/ob/2359905/
2359907,2359907,minor,P2,closed,taojin,nge,VDI,Virtual Devices,Serial Port Redirection,,13900292,No,[lx] move bin\README to \README for lx client serialport tarball installer VMware-Horizon-serialportClient-5.1.0-13900292.i386.tar.gz,https://buildweb.eng.vmware.com/ob/2359907/
2359908,2359908,minor,P2,closed,taojin,nge,VDI,Virtual Devices,Scanner Redirection,,13900292,No,[lx] move bin\README to \README for lx client scanner tarball installer VMware-Horizon-ScannerClientxxx.tar.gz,https://buildweb.eng.vmware.com/ob/2359908/
2359927,2359927,critical,P1,closed,alanh,ljack,VDI,Blast Integration,Win Client,,13902629,---,[New Client] Sometimes it shows black screen when launch agent desktop,https://buildweb.eng.vmware.com/ob/2359927/
2360225,2360225,serious,P1,closed,katiyara,kli,VDI,Microsoft Teams,Agent,,,---,"video no longer seen after several video window manipulations (open/close chat panel, turn video on/off)",https://buildweb.eng.vmware.com/ob/2360225/
2360246,2360246,serious,P1,new,haishanw,kli,VDI,Microsoft Teams,Agent,,,---,Native user does not get VDI's incoming video during meet now,https://buildweb.eng.vmware.com/ob/2360246/
2360642,2360642,critical,P1,closed,achernikov,ljack,VDI,Blast Integration,Win Client,,13919900,---,"[New Client] With VM based Windows client, compared with old client, CPU usage for RMKS increased a lot when playing video",https://buildweb.eng.vmware.com/ob/2360642/
2361108,2361108,serious,P1,closed,haishanw,kli,VDI,Microsoft Teams,Agent,,,---,incoming video not displayed after VDI resumes hold on chrome user,https://buildweb.eng.vmware.com/ob/2361108/
2361507,2361507,critical,---,closed,alanh,kelsallt,VDI,Blast Integration,Win Client,,13879585,Unknown,viewClient: PANIC mouse thread did not respond to a grab request,https://buildweb.eng.vmware.com/ob/2361507/
2362448,2362448,serious,P1,new,shuaibingw,llv,VDI,Remote Client,lx client,,13938431,---,[OS Update][Linux client]Failed to install Linux client using installer bundle on RHEL 8 since there is no python command by default,https://buildweb.eng.vmware.com/ob/2362448/
2362451,2362451,serious,P1,closed,zhaoli,shou,VDI,Client Drive Redirection,Mac Client,,13444691,No,[Mac 10.15][CDR]Fail to create folder in redirected CDR folder on MacOS 10.15 beta,https://buildweb.eng.vmware.com/ob/2362451/
2362455,2362455,critical,P1,closed,zji,llv,VDI,Remote Client,lx client,,13938431,---,"[OS Update][RHEL 8] ""symbol lookup error: /usr/lib64/libpangomm-1.4.so.1: undefined symbol"" error comes up when launching Linux client on RHEL 8",https://buildweb.eng.vmware.com/ob/2362455/
2363244,2363244,serious,P1,reopened,appblast-guru,ljack,VDI,Blast Integration,Win Client,,13938439,---,"[New Client] When primary monitor is connected to AMD graphics, software decoder but not hardware decoder is used",https://buildweb.eng.vmware.com/ob/2363244/
2363441,2363441,serious,P1,new,achernikov,ljack,VDI,Blast Integration,Win Client,,13938439,Yes,[New Client] the memory usage for RMKS is larger than old client,https://buildweb.eng.vmware.com/ob/2363441/
2363480,2363480,serious,P1,closed,vertikasingh,xinshul,VDI,Remote Core,Protocol Provider (RDS),PhysicalPCWin10RS4,,---,"[Physical Agent]Status in connection server admin is always shown as ""Disconnected"" after the physical machine sleeps/Hibernate",https://buildweb.eng.vmware.com/ob/2363480/
2363719,2363719,catastrophic,P0,closed,dcheah,jchittala,VDI,Remote Core,Display (console),,,---,Connection establishment is broken with PCoIP in main branch,https://buildweb.eng.vmware.com/ob/2363719/
2363992,2363992,serious,P1,closed,hangl,hangl,VDI,Linux Agent,Core-Agent,linuxvdi-multiple-session,,---,[Multiple Session] Optimize functions related to X display allocation,https://buildweb.eng.vmware.com/ob/2363992/
2364061,2364061,serious,P2,closed,zhuanhuan,zhuanhuan,VDI,URL Redirection,Windows Agent,,13949173,No,"[URL Redirection] When URL is redirected to agent side. There are multiple duplicate logs about ""IsSupportIpRules: Support IP rules - no""",https://buildweb.eng.vmware.com/ob/2364061/
2364246,2364246,critical,P1,closed,kelsallt,swan,VDI,Blast Integration,Win Client,,13949094,---,[New Client] Blast HEVC and H264 4:4:4 don't work when the client connects to the vGPU agent,https://buildweb.eng.vmware.com/ob/2364246/
2364691,2364691,serious,P1,closed,haishanw,kli,VDI,Microsoft Teams,Client,,,Yes,Optimized teams not working with latest horizon client build,https://buildweb.eng.vmware.com/ob/2364691/
2364960,2364960,critical,P1,closed,joeqiux,xinshul,VDI,Multimedia,HTML5 Video Redirection,"cart-st-auto, view-client-auto-win",,---,[Automation]html5Client!PollSocketThread+0x2d4 [D:\build\ob\bora-13949851\bora\lib\pollDefault\pollDefault.c @ 4659],https://buildweb.eng.vmware.com/ob/2364960/
2364998,2364998,critical,P1,closed,ksong,lvl,VDI,Linux Agent,Core-Agent,regression,13953698,---,Agent doesn't logoff successfully from guest,https://buildweb.eng.vmware.com/ob/2364998/
2365220,2365220,serious,P1,closed,clayton,clayton,VDI,Blast Integration,Win Client,,,---,[VMW-1341] video is offset and wrong size for win10 desktops,https://buildweb.eng.vmware.com/ob/2365220/
2365383,2365383,serious,P1,closed,vertikasingh,jchittala,VDI,Skype For Business Redirection,SFB Agent,,,---,[VMW-1372] - VMWMMAPluginUI settings and statistics window do not open on Win 7 with vespa branch builds,https://buildweb.eng.vmware.com/ob/2365383/
2365454,2365454,minor,P1,closed,haishanw,kli,VDI,Microsoft Teams,Client,,,---,calls fail with disabled camera,https://buildweb.eng.vmware.com/ob/2365454/
2365519,2365519,critical,P1,closed,alanh,swan,VDI,Blast Integration,Win Client,,13959711,---,[New Client] Black screen is shown after the client installed on the 1-CPU VM connects the remote desktop,https://buildweb.eng.vmware.com/ob/2365519/
2365528,2365528,catastrophic,P1,closed,vdi-guru,gjin,VDI,Installer,viewAgent-Core (win),"BAT, view-client-auto-win",13961735,---,Agent installation fails on Win7 VDI,https://buildweb.eng.vmware.com/ob/2365528/
2365533,2365533,critical,P1,closed,alanh,swan,VDI,Blast Integration,Win Client,,13961853,---,[New Client] cannot operate on the remote deskop after reconnecting to the existing session via PCoIP,https://buildweb.eng.vmware.com/ob/2365533/
2365779,2365779,serious,P1,closed,smangui,zhangh,VDI,Printer  Redirection,VMW - Linux Client,,13961855,No,Please include Brown in the overall tar package: vmware-view-client-linux-xxx-yyyy.tar.gz,https://buildweb.eng.vmware.com/ob/2365779/
2365861,2365861,serious,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,,,---,(Extension addressbar approach) Sometimes cannot go back to the previous page,https://buildweb.eng.vmware.com/ob/2365861/
2365879,2365879,serious,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,,,---,Drag the top frame of the web page is not with good experience,https://buildweb.eng.vmware.com/ob/2365879/
2366003,2366003,serious,P1,closed,agong,alanh,VDI,Remote Client,lx client,,,---,Linux Client hides the Desktop & Application List on session start,https://buildweb.eng.vmware.com/ob/2366003/
2366137,2366137,critical,---,assigned,aisajanyan,tsharan,VDI,Blast Protocol,Performance,"HealthCareCustomer, SR",,Unknown,"[SR][19000950106][Texas Health Resources][PLT] Session stealing is taking 8-11 seconds with Nvidia Graphic card. Without Nvidia, it takes only 2-3 seconds.",https://buildweb.eng.vmware.com/ob/2366137/
2366482,2366482,critical,P1,closed,appblast-guru,huanguoz,VDI,Blast Protocol,Display,"BAT, CART-AIR-Automation",13973678,---,Black screen when connect the remote desktop with Blast protocol,https://buildweb.eng.vmware.com/ob/2366482/
2366500,2366500,critical,P1,closed,appblast-guru,ljack,VDI,Blast Protocol,Other,,13974991,---,"It shows ""The display protocol for this desktop is currently not available"" when launching agent desktop with Blast",https://buildweb.eng.vmware.com/ob/2366500/
2366547,2366547,minor,P1,closed,wbai,wbai,VDI,Client Drive Redirection,Windows Agent,,,No,CDR File read cache has no effect when copying a small file (less than 32k) by Explorer.exe from client to agent,https://buildweb.eng.vmware.com/ob/2366547/
2366618,2366618,critical,P1,closed,alanh,ljack,VDI,Blast Integration,Win Client,,13973678,---,Agent desktop freeze when switching from H264 to JPEG/PNG,https://buildweb.eng.vmware.com/ob/2366618/
2366673,2366673,serious,P1,closed,bentonj,ljack,VDI,Blast Protocol,Display,,13974991,---,"[Dynamic Encoder] After playing video, when moving the window inside agent desktop, the agent desktop was refreshed block by block",https://buildweb.eng.vmware.com/ob/2366673/
2366715,2366715,critical,P1,closed,bentonj,ljack,VDI,Blast Integration,Win Client,,13975145,---,[New Client] No H264 watermark when playing video for the second time,https://buildweb.eng.vmware.com/ob/2366715/
2366721,2366721,serious,P1,closed,agong,alanh,VDI,Remote Client,lx client,,,---,ERROR:/build/mts/release/bora-13929828/horizonclient/view/openClient/gtk/cdkPcoipDesktopCrtbora.cpp:3202:void cdk_pcoip_desktop_disconnect(CdkRemoteDesktop*): assertion failed: (priv->desktop),https://buildweb.eng.vmware.com/ob/2366721/
2366739,2366739,serious,P1,closed,shahsunny,xinshul,VDI,Multimedia,Browser Redirection,,,---,"‰ÛÏAuthorization Required‰Ûù error information rather than ""sign in"" dialog when needs authentication",https://buildweb.eng.vmware.com/ob/2366739/
2366794,2366794,serious,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,known-issue,,---,Cannot save password for users,https://buildweb.eng.vmware.com/ob/2366794/
2366874,2366874,serious,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,known-issue,,---,Cannot do the download operation,https://buildweb.eng.vmware.com/ob/2366874/
2366892,2366892,minor,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,,,---,Switching focus from agent window to redirected view point does not give good experience,https://buildweb.eng.vmware.com/ob/2366892/
2366904,2366904,serious,P1,closed,shahsunny,xinshul,VDI,Multimedia,Browser Redirection,,,---,Pressing Alt+F4 will clear the content of view point,https://buildweb.eng.vmware.com/ob/2366904/
2367214,2367214,minor,P1,closed,haishanw,kli,VDI,Microsoft Teams,Client,,,---,self preview resizes/wrong aspect ratio when sharing ppt,https://buildweb.eng.vmware.com/ob/2367214/
2367322,2367322,critical,P1,closed,amold,scheng,VDI,Blast Networking,BEAT Side Channel,,13961898,---,"""USB Initializing..."" shows up sometimes if re-logon the session over beat side channel under the network with delay time",https://buildweb.eng.vmware.com/ob/2367322/
2367421,2367421,critical,P1,closed,xwei,huanguoz,VDI,Flash MMR Redirection,Windows Client,"BAT, CART-AIR-Automation",13977889,---,RMKS dump created when executing flash redirection bats case(D:\build\ob\bora-13977688\bora\apps\rde\flashmmr\client\axplugin\flashPlayer.cpp @ 421),https://buildweb.eng.vmware.com/ob/2367421/
2367444,2367444,serious,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,,,---,Error message (like 404 page cannot be found) cannot be shown to user,https://buildweb.eng.vmware.com/ob/2367444/
2367466,2367466,serious,P1,closed,amold,zlin,VDI,Blast Networking,BEAT (UDP FEC) Library,,24697551,---,Sometimes remote agent cannot be launched via Blast and Worker dump was found ASSERT bora\lib\udpfec\fecHostUDP.c:2605,https://buildweb.eng.vmware.com/ob/2367466/
2367560,2367560,serious,P1,closed,nirmitd,xinshul,VDI,Multimedia,Browser Redirection,,,---,link inside an element tag does not take effect,https://buildweb.eng.vmware.com/ob/2367560/
2367636,2367636,serious,P1,closed,nirmitd,xinshul,VDI,Multimedia,Browser Redirection,,,---,[new Client] Viewport is covered by color block and desktop & application select list when launch chrome as app with Browser Redirection works,https://buildweb.eng.vmware.com/ob/2367636/
2367660,2367660,serious,P1,new,zji,zji,VDI,RMKS,linux,,,No,Revert the WA in scons libtool once linux vdi drop gtk2 support,https://buildweb.eng.vmware.com/ob/2367660/
2367668,2367668,critical,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,,,---,Browser redirection stop working in chrome as application when the RDSH desktop is launched,https://buildweb.eng.vmware.com/ob/2367668/
2367675,2367675,critical,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,,,---,Browser redirection stop working in chrome as application when the RDSH desktop is launched,https://buildweb.eng.vmware.com/ob/2367675/
2367912,2367912,catastrophic,P0,closed,aisajanyan,bhatial,VDI,Remote Core,Input (Console),,13980970,Yes,Mouse/Keyboard input to the desktop does not work,https://buildweb.eng.vmware.com/ob/2367912/
2367973,2367973,serious,P1,closed,vertikasingh,kli,VDI,Skype For Business Redirection,SFB Windows Client,,,Yes,[VMW-1374] SFB is in fallback mode when using debug ME,https://buildweb.eng.vmware.com/ob/2367973/
2368189,2368189,critical,P1,closed,yanx,ljack,VDI,Remote Client,web client,,13956529,Yes,Keyboard input doesn't work with Web client with Chrome browser,https://buildweb.eng.vmware.com/ob/2368189/
2368232,2368232,critical,P1,closed,arongp,yul,VDI,Virtual Channel SDKs,RDP VC Bridge,"ThinPrint, view-client-auto-mac",13971209,Yes,ThinPrint redirection stops working for Blast session,https://buildweb.eng.vmware.com/ob/2368232/
2368329,2368329,minor,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,,,---,Launching chrome page in different ways cannot make browser redirection work until refreshing the page,https://buildweb.eng.vmware.com/ob/2368329/
2368392,2368392,critical,P1,closed,bentonj,ljack,VDI,Blast Integration,Mac Client,,13983893,Yes,[Dynamic Encoder] Dynamic encoder switch is disabled with Mac client,https://buildweb.eng.vmware.com/ob/2368392/
2368397,2368397,serious,P1,closed,nirmitd,xinshul,VDI,Multimedia,Browser Redirection,,,---,Viewport color block keeps when the desktop turns off the display,https://buildweb.eng.vmware.com/ob/2368397/
2368429,2368429,serious,P1,closed,dcheah,zlin,VDI,Blast Protocol,Performance,PAfeature-BJauto,13987687,---,Blast worker memory increases obviously after re-connection stress test,https://buildweb.eng.vmware.com/ob/2368429/
2368467,2368467,serious,P1,closed,bentonj,ljack,VDI,Blast Protocol,Other,,13983893,---,[Dynamic Encoder] It cannot switch to H264 when playing video with maximize video window with 4K monitor,https://buildweb.eng.vmware.com/ob/2368467/
2368476,2368476,serious,P1,closed,shahsunny,xinshul,VDI,Multimedia,Browser Redirection,,,---,Keyboard shotcuts that applys in browser redirection,https://buildweb.eng.vmware.com/ob/2368476/
2368941,2368941,serious,P1,closed,appblast-guru,fschimscheimer,VDI,Blast Protocol,Other,,13991582,---,Blast Worker core dumps running RAWC 24 hour PDF scrolling test.,https://buildweb.eng.vmware.com/ob/2368941/
2369010,2369010,serious,P1,closed,alanh,swan,VDI,Blast Integration,Win Client,,13987579,---,"[New Client] RMKS dump with ""PANIC: MXUserAcquisitionTracking: rank violation maxRank=0x51f""",https://buildweb.eng.vmware.com/ob/2369010/
2369015,2369015,serious,P1,new,bentonj,ljack,VDI,Blast Protocol,Other,,13983893,---,"[Dynamic Encoder] The encoder name shows in the performance tracker is always ""switch""",https://buildweb.eng.vmware.com/ob/2369015/
2369237,2369237,serious,P1,closed,dcheah,scheng,VDI,Blast Protocol,Display,,13994510,---,Remote session screen is corrupted and not clickable after resize blast session for several times,https://buildweb.eng.vmware.com/ob/2369237/
2369281,2369281,minor,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,known-issue,,---,Browser redirection cannot work at the same time with URL content redirection,https://buildweb.eng.vmware.com/ob/2369281/
2369350,2369350,critical,P1,closed,alanh,xinshul,VDI,Blast Integration,Win Client,,,---,[PCoIP]Connection ended when re-focus from viewport to agent side and do some keyboard operations,https://buildweb.eng.vmware.com/ob/2369350/
2369353,2369353,critical,P1,closed,amold,ljack,VDI,Blast Networking,Other,PAfeature-BJauto,13994419,Yes,[QoS] DSCP value is not set in AOut UDP messages,https://buildweb.eng.vmware.com/ob/2369353/
2369399,2369399,serious,P1,closed,shahsunny,xinshul,VDI,Multimedia,Browser Redirection,,,---,Desktop & app selector window hangs after disconnecting a desktop with viewport opened,https://buildweb.eng.vmware.com/ob/2369399/
2369463,2369463,minor,P1,closed,bhatial,xinshul,VDI,Multimedia,Browser Redirection,known-issue,,---,No method to save image,https://buildweb.eng.vmware.com/ob/2369463/
